 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 #--------------------------------------------------------------------------#
 #  file ThermalStorageSOC.dat; contains the state of charge of the thermal storage.  
 #--------------------------------------------------------------------------#

Time [h]            SOC in [%]          SOC out [%]         SOC in [kJ]         SOC out [kJ]        

  1.00                0.00                0.00                 0.00E+00            0.00E+00
  2.00                0.00                0.00                 0.00E+00            0.00E+00
  3.00                0.00                0.00                 0.00E+00            0.00E+00
  4.00                0.00                0.00                 0.00E+00            0.00E+00
  5.00                0.00                0.00                 0.00E+00            0.00E+00
  6.00                0.00                0.00                 0.00E+00            0.00E+00
  7.00                0.00                0.00                 0.00E+00            0.00E+00
  8.00                0.00                0.00                 0.00E+00            0.00E+00
  9.00                0.00                6.67                 0.00E+00            1.80E+04
 10.00                6.67                0.00                 1.80E+04            0.00E+00
 11.00                0.00               26.67                 0.00E+00            7.20E+04
 12.00               26.67               26.67                 7.20E+04            7.20E+04
 13.00               26.67               26.67                 7.20E+04            7.20E+04
 14.00               26.67               26.67                 7.20E+04            7.20E+04
 15.00               26.67               26.67                 7.20E+04            7.20E+04
 16.00               26.67               26.67                 7.20E+04            7.20E+04
 17.00               26.67               16.67                 7.20E+04            4.50E+04
 18.00               16.67                0.00                 4.50E+04            1.34E-03
 19.00                0.00                6.67                 1.34E-03            1.80E+04
 20.00                6.67               23.33                 1.80E+04            6.30E+04
 21.00               23.33               16.67                 6.30E+04            4.50E+04
 22.00               16.67               43.33                 4.50E+04            1.17E+05
 23.00               43.33               43.33                 1.17E+05            1.17E+05
 24.00               43.33               43.33                 1.17E+05            1.17E+05
 25.00               43.33               43.33                 1.17E+05            1.17E+05
 26.00               43.33               43.33                 1.17E+05            1.17E+05
 27.00               43.33               43.33                 1.17E+05            1.17E+05
 28.00               43.33               43.33                 1.17E+05            1.17E+05
 29.00               43.33               43.33                 1.17E+05            1.17E+05
 30.00               43.33               43.33                 1.17E+05            1.17E+05
 31.00               43.33               43.33                 1.17E+05            1.17E+05
 32.00               43.33               43.33                 1.17E+05            1.17E+05
 33.00               43.33               43.33                 1.17E+05            1.17E+05
 34.00               43.33               63.33                 1.17E+05            1.71E+05
 35.00               63.33               56.67                 1.71E+05            1.53E+05
 36.00               56.67               50.00                 1.53E+05            1.35E+05
 37.00               50.00               50.00                 1.35E+05            1.35E+05
 38.00               50.00               50.00                 1.35E+05            1.35E+05
 39.00               50.00               50.00                 1.35E+05            1.35E+05
 40.00               50.00               50.00                 1.35E+05            1.35E+05
 41.00               50.00               50.00                 1.35E+05            1.35E+05
 42.00               50.00               73.33                 1.35E+05            1.98E+05
 43.00               73.33               56.67                 1.98E+05            1.53E+05
 44.00               56.67               30.00                 1.53E+05            8.10E+04
 45.00               30.00               13.33                 8.10E+04            3.60E+04
 46.00               13.33                6.67                 3.60E+04            1.80E+04
 47.00                6.67                0.00                 1.80E+04            5.36E-03
 48.00                0.00                0.00                 5.36E-03            5.36E-03
