 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # cost.dat, contains all the costs
 # equipment and time-step
 #--------------------------------------------------------------------------#

Time [h]        Fuel [€]  Maintenance [€]       OnOff [€]

1.00E+00         0.00E+00       0.00E+00       0.00E+00
2.00E+00         0.00E+00       0.00E+00       0.00E+00
3.00E+00         0.00E+00       0.00E+00       0.00E+00
4.00E+00         0.00E+00       0.00E+00       0.00E+00
5.00E+00         0.00E+00       0.00E+00       0.00E+00
6.00E+00         2.95E+01       2.00E-01       0.00E+00
7.00E+00         4.58E+01       2.00E-01       0.00E+00
8.00E+00         5.73E+01       2.00E-01       0.00E+00
9.00E+00         0.00E+00       0.00E+00       1.00E+02
1.00E+01         0.00E+00       0.00E+00       0.00E+00
1.10E+01         4.11E+01       2.00E-01       0.00E+00
1.20E+01         3.60E+01       2.00E-01       0.00E+00
1.30E+01         0.00E+00       0.00E+00       1.00E+02
1.40E+01         0.00E+00       0.00E+00       0.00E+00
1.50E+01         4.58E+01       2.00E-01       0.00E+00
1.60E+01         5.18E+01       2.00E-01       0.00E+00
1.70E+01         6.38E+01       2.00E-01       0.00E+00
1.80E+01         7.12E+01       2.00E-01       0.00E+00
1.90E+01         5.41E+01       2.00E-01       0.00E+00
2.00E+01         4.81E+01       2.00E-01       0.00E+00
2.10E+01         0.00E+00       2.00E-01       0.00E+00
2.20E+01         0.00E+00       0.00E+00       1.00E+02
2.30E+01         0.00E+00       0.00E+00       0.00E+00
2.40E+01         0.00E+00       0.00E+00       0.00E+00
