 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # pec.dat: primary energy consumption.     
 #--------------------------------------------------------------------------#

Time [h]            Pec  [kJ]           
   1.00E+00              1.09E+03              9.55E+03
   2.00E+00              1.06E+04              1.06E+04
   3.00E+00              1.20E+02              9.72E+03
   4.00E+00              8.95E+02              9.92E+03
   5.00E+00              7.72E+01              1.02E+04
   6.00E+00              1.84E+02              1.04E+04
   7.00E+00              7.34E+02              1.09E+04
   8.00E+00              1.19E+04              1.19E+04
   9.00E+00             -1.35E+03              1.28E+04
   1.00E+01              1.15E+04              1.30E+04
   1.10E+01             -1.29E+03              1.29E+04
   1.20E+01              1.05E+04              1.19E+04
   1.30E+01             -2.12E+03              1.20E+04
   1.40E+01              1.13E+04              1.27E+04
   1.50E+01              1.82E+03              1.26E+04
   1.60E+01              4.06E+03              1.25E+04
   1.70E+01              1.66E+03              1.18E+04
   1.80E+01              1.79E+02              1.15E+04
   1.90E+01              2.88E+03              1.13E+04
   2.00E+01              2.67E+03              1.11E+04
   2.10E+01             -4.78E+08             -4.78E+08
   2.20E+01             -4.78E+08             -4.78E+08
   2.30E+01              1.78E+03             -4.78E+08
   2.40E+01             -4.78E+08             -4.78E+08
