 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # electricRevenues.dat, contains the revenues from electric energy selling.
 #--------------------------------------------------------------------------#

Time [h]       Client 001       Client 002       Grid Sel          Grid Buy

1.00E+00        0.000E+00        0.000E+00        0.000E+00        2.573E-03
2.00E+00        0.000E+00        0.000E+00        0.000E+00        2.400E-03
3.00E+00        0.000E+00        0.000E+00        0.000E+00        2.325E-03
4.00E+00        0.000E+00        0.000E+00        0.000E+00        2.233E-03
5.00E+00        0.000E+00        0.000E+00        0.000E+00        2.225E-03
6.00E+00        0.000E+00        0.000E+00        0.000E+00        1.249E-02
7.00E+00        0.000E+00        0.000E+00        5.189E-03        1.572E-02
8.00E+00        0.000E+00        0.000E+00        9.048E-03        2.373E-02
9.00E+00        0.000E+00        0.000E+00        0.000E+00        0.000E+00
1.00E+01        0.000E+00        0.000E+00        0.000E+00        0.000E+00
1.10E+01        0.000E+00        0.000E+00        1.444E-02        2.041E-02
1.20E+01        0.000E+00        0.000E+00        1.444E-02        2.258E-02
1.30E+01        0.000E+00        0.000E+00        0.000E+00        0.000E+00
1.40E+01        0.000E+00        0.000E+00        0.000E+00        0.000E+00
1.50E+01        0.000E+00        0.000E+00        6.914E-03        1.948E-02
1.60E+01        0.000E+00        0.000E+00        7.184E-03        2.084E-02
1.70E+01        0.000E+00        0.000E+00        9.583E-03        2.231E-02
1.80E+01        0.000E+00        0.000E+00        1.314E-02        2.306E-02
1.90E+01        0.000E+00        0.000E+00        1.276E-02        2.731E-02
2.00E+01        0.000E+00        0.000E+00        5.891E-03        2.222E-02
2.10E+01        0.000E+00        0.000E+00        0.000E+00        1.800E-02
2.20E+01        0.000E+00        0.000E+00        0.000E+00        5.170E-03
2.30E+01        0.000E+00        0.000E+00        0.000E+00        3.232E-03
2.40E+01        0.000E+00        0.000E+00        0.000E+00        2.925E-03
