 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 #--------------------------------------------------------------------------#
 #  file ElectricalStorageSOC.dat; contains the state of charge of the electrical storage.  
 #--------------------------------------------------------------------------#

Time [h]            SOC in [%]          SOC out [%]         SOC in [kJ]         SOC out [kJ]        

 1.00                0.00               75.00                  0.00E+00            9.45E+06
 2.00               75.00               58.33                  9.45E+06            7.35E+06
 3.00               58.33               33.33                  7.35E+06            4.20E+06
 4.00               33.33                8.33                  4.20E+06            1.05E+06
 5.00                8.33               75.00                  1.05E+06            9.45E+06
 6.00               75.00               41.67                  9.45E+06            5.25E+06
 7.00               41.67                0.00                  5.25E+06            1.50E+00
 8.00                0.00               *****                  1.50E+00            1.26E+07
 9.00               *****                0.00                  1.26E+07            4.00E+00
10.00                0.00               *****                  4.00E+00            1.26E+07
11.00               *****                0.00                  1.26E+07            6.00E+00
12.00                0.00               *****                  6.00E+00            1.26E+07
13.00               *****                0.00                  1.26E+07            8.00E+00
14.00                0.00               *****                  8.00E+00            1.26E+07
15.00               *****               41.67                  1.26E+07            5.25E+06
16.00               41.67               91.67                  5.25E+06            1.16E+07
17.00               91.67               41.67                  1.16E+07            5.25E+06
18.00               41.67                0.00                  5.25E+06            1.00E+01
19.00                0.00                0.00                  1.00E+01            1.00E+01
20.00                0.00                0.00                  1.00E+01            1.00E+01
21.00                0.00                0.00                  1.00E+01            1.00E+01
22.00                0.00                0.00                  1.00E+01            1.00E+01
23.00                0.00                0.00                  1.00E+01            1.00E+01
24.00                0.00                0.00                  1.00E+01            1.00E+01
