 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # electricRevenues.dat, contains the revenues from electric energy selling.
 #--------------------------------------------------------------------------#

Time [h]       Client 001       Grid Sel          Grid Buy

1.00E+00        0.000E+00        1.909E+02        0.000E+00
2.00E+00        0.000E+00        1.664E+02        0.000E+00
3.00E+00        0.000E+00        1.556E+02        0.000E+00
4.00E+00        0.000E+00        1.484E+02        0.000E+00
5.00E+00        0.000E+00        2.704E+02        0.000E+00
6.00E+00        0.000E+00        1.440E+02        0.000E+00
7.00E+00        0.000E+00        1.238E+02        0.000E+00
8.00E+00        0.000E+00        1.557E+02        0.000E+00
9.00E+00        0.000E+00        1.333E+02        0.000E+00
1.00E+01        0.000E+00        1.233E+02        0.000E+00
1.10E+01        0.000E+00        1.264E+02        0.000E+00
1.20E+01        0.000E+00        1.561E+02        0.000E+00
1.30E+01        0.000E+00        1.417E+02        0.000E+00
1.40E+01        0.000E+00        1.007E+02        0.000E+00
1.50E+01        0.000E+00        1.148E+02        0.000E+00
1.60E+01        0.000E+00        1.277E+02        0.000E+00
1.70E+01        0.000E+00        1.931E+02        0.000E+00
1.80E+01        0.000E+00        2.280E+02        0.000E+00
1.90E+01        0.000E+00        2.685E+02        0.000E+00
2.00E+01        0.000E+00        1.742E+02        0.000E+00
2.10E+01        0.000E+00        1.971E+02        0.000E+00
2.20E+01        0.000E+00        1.875E+02        0.000E+00
2.30E+01        0.000E+00        1.733E+02        0.000E+00
2.40E+01        0.000E+00        1.637E+02        0.000E+00
