 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # pec.dat: primary energy consumption.     
 #--------------------------------------------------------------------------#

Time [h]            Pec  [kJ]           
   1.00E+00             -3.16E+04             -3.22E+04
   2.00E+00             -2.63E+04             -2.60E+04
   3.00E+00             -2.05E+04             -2.01E+04
   4.00E+00             -1.61E+04             -1.57E+04
   5.00E+00             -1.20E+04             -1.26E+04
   6.00E+00             -3.25E+04             -3.21E+04
   7.00E+00             -3.99E+04             -4.06E+04
   8.00E+00             -4.36E+04             -4.36E+04
   9.00E+00             -4.30E+04             -4.40E+04
   1.00E+01             -4.27E+04             -4.39E+04
   1.10E+01             -4.32E+04             -4.34E+04
   1.20E+01             -4.28E+04             -4.41E+04
   1.30E+01             -4.37E+04             -4.41E+04
   1.40E+01             -4.21E+04             -4.36E+04
   1.50E+01             -4.20E+04             -4.34E+04
   1.60E+01             -4.02E+04             -4.14E+04
   1.70E+01             -3.70E+04             -3.71E+04
   1.80E+01             -2.56E+04             -2.64E+04
   1.90E+01             -5.30E+03             -5.13E+03
   2.00E+01             -1.38E+04             -1.45E+04
   2.10E+01             -1.93E+04             -1.90E+04
   2.20E+01             -2.54E+04             -2.52E+04
   2.30E+01             -3.19E+04             -3.15E+04
   2.40E+01             -3.50E+04             -3.46E+04
