 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # energyDemand.dat, contains the energy demand for each vector           
 #--------------------------------------------------------------------------#

Time [h]  Electricity [kW]      Thermal [kW]     Chilling [kW]

1.00E+00        5.030E+02      1.840E+02      1.059E+03
2.00E+00        5.470E+02      1.900E+02      1.087E+03
3.00E+00        5.800E+02      1.900E+02      1.010E+03
4.00E+00        6.740E+02      3.710E+02      8.450E+02
5.00E+00        8.230E+02      9.820E+02      9.550E+02
6.00E+00        8.720E+02      7.730E+02      8.450E+02
7.00E+00        1.125E+03      3.490E+02      1.318E+03
8.00E+00        1.582E+03      1.098E+03      2.237E+03
9.00E+00        2.006E+03      1.582E+03      2.837E+03
1.00E+01        2.072E+03      1.703E+03      3.183E+03
1.10E+01        2.033E+03      1.147E+03      3.359E+03
1.20E+01        1.582E+03      1.395E+03      3.321E+03
1.30E+01        1.648E+03      1.400E+03      3.662E+03
1.40E+01        1.951E+03      2.006E+03      4.069E+03
1.50E+01        1.885E+03      1.422E+03      3.480E+03
1.60E+01        1.868E+03      1.879E+03      3.326E+03
1.70E+01        1.549E+03      6.800E+02      2.842E+03
1.80E+01        1.395E+03      6.240E+02      2.028E+03
1.90E+01        1.323E+03      6.190E+02      1.708E+03
2.00E+01        1.230E+03      6.080E+02      1.516E+03
2.10E+01        1.092E+03      3.930E+02      1.472E+03
2.20E+01        9.110E+02      2.500E+02      1.268E+03
2.30E+01        8.170E+02      1.840E+02      1.147E+03
2.40E+01        7.400E+02      1.950E+02      1.081E+03
