 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # electricRevenues.dat, contains the revenues from electric energy selling.
 #--------------------------------------------------------------------------#

Time [h]       Client 001       Grid Sel          Grid Buy

1.00E+00        0.000E+00        0.000E+00        0.000E+00
2.00E+00        0.000E+00        0.000E+00        0.000E+00
3.00E+00        0.000E+00        0.000E+00        0.000E+00
4.00E+00        0.000E+00        0.000E+00        0.000E+00
5.00E+00        0.000E+00        0.000E+00        0.000E+00
6.00E+00        0.000E+00        0.000E+00        0.000E+00
7.00E+00        0.000E+00        0.000E+00        0.000E+00
8.00E+00        0.000E+00        0.000E+00       -1.932E+01
9.00E+00        0.000E+00        0.000E+00       -1.888E+01
1.00E+01        0.000E+00        0.000E+00       -1.916E+01
1.10E+01        0.000E+00        0.000E+00       -1.895E+01
1.20E+01        0.000E+00        0.000E+00       -1.889E+01
1.30E+01        0.000E+00        0.000E+00       -1.898E+01
1.40E+01        0.000E+00        0.000E+00       -1.921E+01
1.50E+01        0.000E+00        0.000E+00       -1.957E+01
1.60E+01        0.000E+00        0.000E+00       -2.003E+01
1.70E+01        0.000E+00        0.000E+00       -2.053E+01
1.80E+01        0.000E+00        0.000E+00       -2.090E+01
1.90E+01        0.000E+00        0.000E+00       -2.149E+01
2.00E+01        0.000E+00        0.000E+00       -2.149E+01
2.10E+01        0.000E+00        0.000E+00       -2.149E+01
2.20E+01        0.000E+00        0.000E+00       -7.106E+00
2.30E+01        0.000E+00        0.000E+00        0.000E+00
2.40E+01        0.000E+00        0.000E+00        0.000E+00
