 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # pec.dat: primary energy consumption.     
 #--------------------------------------------------------------------------#

Time [h]            Pec  [kJ]           
   1.00E+00              0.00E+00              3.23E+02
   2.00E+00              0.00E+00              3.23E+02
   3.00E+00              0.00E+00              3.23E+02
   4.00E+00              0.00E+00              3.23E+02
   5.00E+00              0.00E+00              3.23E+02
   6.00E+00             -2.09E+00              3.21E+02
   7.00E+00             -6.16E+00              3.17E+02
   8.00E+00              1.91E+02              3.82E+02
   9.00E+00              1.87E+02              3.77E+02
   1.00E+01              1.89E+02              3.73E+02
   1.10E+01              1.87E+02              3.71E+02
   1.20E+01              1.87E+02              3.70E+02
   1.30E+01              1.88E+02              3.71E+02
   1.40E+01              1.90E+02              3.73E+02
   1.50E+01              1.93E+02              3.77E+02
   1.60E+01              1.98E+02              3.82E+02
   1.70E+01              2.03E+02              3.87E+02
   1.80E+01              2.07E+02              3.91E+02
   1.90E+01              2.12E+02              3.94E+02
   2.00E+01              2.12E+02              3.94E+02
   2.10E+01              2.12E+02              3.94E+02
   2.20E+01              7.02E+01              3.94E+02
   2.30E+01              0.00E+00              3.23E+02
   2.40E+01              0.00E+00              3.23E+02
