 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # electricRevenues.dat, contains the revenues from electric energy selling.
 #--------------------------------------------------------------------------#

Time [h]       Client 001       Grid Sel          Grid Buy

1.00E+00        0.000E+00        0.000E+00        0.000E+00
2.00E+00        0.000E+00        0.000E+00        0.000E+00
3.00E+00        0.000E+00        0.000E+00        0.000E+00
4.00E+00        0.000E+00        0.000E+00        0.000E+00
5.00E+00        0.000E+00        0.000E+00        0.000E+00
6.00E+00        0.000E+00        0.000E+00        0.000E+00
7.00E+00        0.000E+00        0.000E+00        0.000E+00
8.00E+00        0.000E+00        0.000E+00       -3.158E+01
9.00E+00        0.000E+00        0.000E+00       -3.114E+01
1.00E+01        0.000E+00        0.000E+00       -3.168E+01
1.10E+01        0.000E+00        0.000E+00       -3.136E+01
1.20E+01        0.000E+00        0.000E+00       -3.122E+01
1.30E+01        0.000E+00        0.000E+00       -3.021E+01
1.40E+01        0.000E+00        0.000E+00       -3.040E+01
1.50E+01        0.000E+00        0.000E+00       -3.070E+01
1.60E+01        0.000E+00        0.000E+00       -3.109E+01
1.70E+01        0.000E+00        0.000E+00       -3.181E+01
1.80E+01        0.000E+00        0.000E+00       -3.179E+01
1.90E+01        0.000E+00        0.000E+00       -3.175E+01
2.00E+01        0.000E+00        0.000E+00       -3.271E+01
2.10E+01        0.000E+00        0.000E+00       -3.271E+01
2.20E+01        0.000E+00        0.000E+00       -9.438E+00
2.30E+01        0.000E+00        0.000E+00        0.000E+00
2.40E+01        0.000E+00        0.000E+00        0.000E+00
