 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # electricRevenues.dat, contains the revenues from electric energy selling.
 #--------------------------------------------------------------------------#

Time [h]       Client 001       Grid Sel          Grid Buy

1.00E+00        0.000E+00        0.000E+00        0.000E+00
2.00E+00        0.000E+00        0.000E+00        0.000E+00
3.00E+00        0.000E+00        0.000E+00        0.000E+00
4.00E+00        0.000E+00        0.000E+00        0.000E+00
5.00E+00        0.000E+00        0.000E+00        0.000E+00
6.00E+00        0.000E+00        0.000E+00        0.000E+00
7.00E+00        0.000E+00        0.000E+00        0.000E+00
8.00E+00        0.000E+00        0.000E+00       -9.620E+00
9.00E+00        0.000E+00        0.000E+00       -9.037E+00
1.00E+01        0.000E+00        0.000E+00       -9.273E+00
1.10E+01        0.000E+00        0.000E+00       -9.012E+00
1.20E+01        0.000E+00        0.000E+00       -8.271E+00
1.30E+01        0.000E+00        0.000E+00       -8.422E+00
1.40E+01        0.000E+00        0.000E+00       -8.770E+00
1.50E+01        0.000E+00        0.000E+00       -9.280E+00
1.60E+01        0.000E+00        0.000E+00       -1.059E+01
1.70E+01        0.000E+00        0.000E+00       -1.107E+01
1.80E+01        0.000E+00        0.000E+00       -1.157E+01
1.90E+01        0.000E+00        0.000E+00       -1.201E+01
2.00E+01        0.000E+00        0.000E+00       -1.192E+01
2.10E+01        0.000E+00        0.000E+00       -1.192E+01
2.20E+01        0.000E+00        0.000E+00       -7.212E+00
2.30E+01        0.000E+00        0.000E+00        0.000E+00
2.40E+01        0.000E+00        0.000E+00        0.000E+00
