 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # pec.dat: primary energy consumption.     
 #--------------------------------------------------------------------------#

Time [h]            Pec  [kJ]           
   1.00E+00              0.00E+00              3.23E+02
   2.00E+00              0.00E+00              3.23E+02
   3.00E+00              0.00E+00              3.23E+02
   4.00E+00              0.00E+00              3.23E+02
   5.00E+00             -3.69E+00              3.20E+02
   6.00E+00             -8.25E+00              3.15E+02
   7.00E+00             -1.25E+01              3.11E+02
   8.00E+00              9.51E+01              3.78E+02
   9.00E+00              8.93E+01              3.72E+02
   1.00E+01              9.16E+01              3.68E+02
   1.10E+01              8.91E+01              3.65E+02
   1.20E+01              8.17E+01              3.64E+02
   1.30E+01              8.32E+01              3.66E+02
   1.40E+01              8.67E+01              3.69E+02
   1.50E+01              9.17E+01              3.74E+02
   1.60E+01              1.05E+02              3.80E+02
   1.70E+01              1.09E+02              3.85E+02
   1.80E+01              1.14E+02              3.90E+02
   1.90E+01              1.19E+02              3.95E+02
   2.00E+01              1.18E+02              3.95E+02
   2.10E+01              1.18E+02              3.95E+02
   2.20E+01              7.13E+01              3.95E+02
   2.30E+01              0.00E+00              3.23E+02
   2.40E+01              0.00E+00              3.23E+02
