 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # electricRevenues.dat, contains the revenues from electric energy selling.
 #--------------------------------------------------------------------------#

Time [h]       Client 001       Grid Sel          Grid Buy

1.00E+00        0.000E+00        0.000E+00        0.000E+00
2.00E+00        0.000E+00        0.000E+00        0.000E+00
3.00E+00        0.000E+00        0.000E+00        0.000E+00
4.00E+00        0.000E+00        0.000E+00        0.000E+00
5.00E+00        0.000E+00        0.000E+00        0.000E+00
6.00E+00        0.000E+00        0.000E+00        0.000E+00
7.00E+00        0.000E+00        0.000E+00        0.000E+00
8.00E+00        0.000E+00        0.000E+00       -3.206E+01
9.00E+00        0.000E+00        0.000E+00       -3.162E+01
1.00E+01        0.000E+00        0.000E+00       -1.998E+01
1.10E+01        0.000E+00        0.000E+00       -2.353E+01
1.20E+01        0.000E+00        0.000E+00       -2.338E+01
1.30E+01        0.000E+00        0.000E+00       -3.069E+01
1.40E+01        0.000E+00        0.000E+00       -3.088E+01
1.50E+01        0.000E+00        0.000E+00       -3.118E+01
1.60E+01        0.000E+00        0.000E+00       -3.157E+01
1.70E+01        0.000E+00        0.000E+00       -3.229E+01
1.80E+01        0.000E+00        0.000E+00       -3.227E+01
1.90E+01        0.000E+00        0.000E+00       -2.494E+01
2.00E+01        0.000E+00        0.000E+00       -2.286E+01
2.10E+01        0.000E+00        0.000E+00       -2.286E+01
2.20E+01        0.000E+00        0.000E+00       -9.438E+00
2.30E+01        0.000E+00        0.000E+00        0.000E+00
2.40E+01        0.000E+00        0.000E+00        0.000E+00
