 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # pec.dat: primary energy consumption.     
 #--------------------------------------------------------------------------#

Time [h]            Pec  [kJ]           
   1.00E+00              0.00E+00              3.23E+02
   2.00E+00              0.00E+00              3.23E+02
   3.00E+00              0.00E+00              3.23E+02
   4.00E+00              0.00E+00              3.23E+02
   5.00E+00              0.00E+00              3.23E+02
   6.00E+00              0.00E+00              3.23E+02
   7.00E+00              0.00E+00              3.23E+02
   8.00E+00              3.17E+02              4.17E+02
   9.00E+00              3.12E+02              4.12E+02
   1.00E+01              3.51E+02              4.07E+02
   1.10E+01              3.20E+02              4.03E+02
   1.20E+01              3.19E+02              4.01E+02
   1.30E+01              3.03E+02              4.01E+02
   1.40E+01              3.05E+02              4.03E+02
   1.50E+01              3.08E+02              4.06E+02
   1.60E+01              3.12E+02              4.10E+02
   1.70E+01              3.19E+02              4.17E+02
   1.80E+01              3.19E+02              4.17E+02
   1.90E+01              3.34E+02              4.17E+02
   2.00E+01              3.46E+02              4.17E+02
   2.10E+01              3.46E+02              4.17E+02
   2.20E+01              9.33E+01              4.17E+02
   2.30E+01              0.00E+00              3.23E+02
   2.40E+01              0.00E+00              3.23E+02
